Time,Raw Pressure,Raw Temperature,Raw Humidity,Calculated Pressure,Calculated Temperature,Calculated Humidity,Calculated Altitude,
03-Apr-2021 (15:43:29.860501),289110,542981,21458,108227.5625,28.860000610351562,25.9228515625,142.37408447265625,
03-Apr-2021 (15:43:29.909199),289111,542976,21454,108227.390625,28.860000610351562,25.8994140625,142.38784790039062,
03-Apr-2021 (15:43:30.006532),289113,542975,21451,108226.5859375,28.850000381469727,25.8740234375,142.4500274658203,
03-Apr-2021 (15:43:30.068505),289114,542981,21447,108226.875,28.860000610351562,25.8505859375,142.42759704589844,
03-Apr-2021 (15:43:30.118598),289113,542986,21449,108227.5078125,28.860000610351562,25.8623046875,142.37867736816406,
03-Apr-2021 (15:43:30.311572),289117,543005,21431,108227.625,28.860000610351562,25.75390625,142.3695068359375,
03-Apr-2021 (15:43:30.344696),289120,543001,21428,108227.21875,28.860000610351562,25.7421875,142.40110778808594,
03-Apr-2021 (15:43:30.395224),289122,543006,21426,108226.875,28.860000610351562,25.73046875,142.42759704589844,
03-Apr-2021 (15:43:30.440048),289122,543012,21424,108227.3359375,28.8700008392334,25.7177734375,142.3919219970703,
03-Apr-2021 (15:43:30.501462),289123,543020,21416,108227.625,28.8700008392334,25.669921875,142.3695068359375,
03-Apr-2021 (15:43:30.567477),289124,543023,21416,108227.453125,28.8700008392334,25.669921875,142.38275146484375,
03-Apr-2021 (15:43:30.655620),289126,543021,21414,108227.109375,28.8700008392334,25.658203125,142.4092559814453,
03-Apr-2021 (15:43:30.700185),289128,543025,21413,108227.21875,28.8700008392334,25.646484375,142.40110778808594,
03-Apr-2021 (15:43:30.742896),289129,543028,21412,108227.046875,28.8700008392334,25.646484375,142.4143524169922,
03-Apr-2021 (15:43:30.805378),289130,543031,21415,108226.8828125,28.8700008392334,25.658203125,142.42709350585938,
03-Apr-2021 (15:43:30.853723),289131,543036,21407,108227.171875,28.8700008392334,25.6103515625,142.4046630859375,
03-Apr-2021 (15:43:30.917674),289131,543033,21406,108227.171875,28.8700008392334,25.6103515625,142.4046630859375,
03-Apr-2021 (15:43:30.983068),289130,543030,21405,108226.8828125,28.8700008392334,25.59765625,142.42709350585938,
03-Apr-2021 (15:43:31.045641),289129,543032,21402,108227.515625,28.8700008392334,25.5859375,142.378173828125,
03-Apr-2021 (15:43:31.270958),289131,543038,21404,108227.171875,28.8700008392334,25.5986328125,142.4046630859375,
