iTOW,Year,Month,Day,Hour,Minute,Second,Valid Date,Valid Time,Fully Resolved,Valid Mag,tAcc,nano,Fix Type,Longitude,Latitude,Height,hMSL,hAcc,vAcc,velN,valE,valD,gSpeed,headMot,
589428000,2021,4,3,19,43,30,1,1,1,0,31,-362843,3D-Fix,-78.0650204,38.397990199999995,89.933,124.395,4.09,4.973,0.025,-0.041,0.059000000000000004,0.048,349.57352000000003,
589429000,2021,4,3,19,43,31,1,1,1,0,31,-362838,3D-Fix,-78.0650209,38.3979903,89.846,124.308,4.09,4.982,0.023,0.001,0.037,0.023,349.57352000000003,
589430000,2021,4,3,19,43,32,1,1,1,0,31,-362834,3D-Fix,-78.0650221,38.3979904,89.71300000000001,124.175,4.091,4.992,0.025,-0.05,0.035,0.056,349.57352000000003,
589431000,2021,4,3,19,43,33,1,1,1,0,31,-362829,3D-Fix,-78.0650228,38.3979905,89.57900000000001,124.041,4.0920000000000005,5.003,0.0,0.032,0.061,0.032,349.57352000000003,
589432000,2021,4,3,19,43,34,1,1,1,0,31,-362825,3D-Fix,-78.0650236,38.3979903,89.497,123.959,4.094,5.014,-0.029,-0.034,0.092,0.045,349.57352000000003,
589433000,2021,4,3,19,43,35,1,1,1,0,31,-362821,3D-Fix,-78.0650234,38.3979899,89.413,123.875,4.105,5.031,-0.029,-0.012,0.032,0.031,349.57352000000003,
589434000,2021,4,3,19,43,36,1,1,1,0,31,-362817,3D-Fix,-78.0650234,38.3979898,89.33800000000001,123.801,4.114,5.042,0.013000000000000001,-0.026000000000000002,-0.029,0.029,349.57352000000003,
589435000,2021,4,3,19,43,37,1,1,1,0,31,-362812,3D-Fix,-78.0650235,38.39799,89.289,123.751,4.12,5.055,0.032,-0.035,-0.043000000000000003,0.047,349.57352000000003,
589436000,2021,4,3,19,43,38,1,1,1,0,31,-362808,3D-Fix,-78.0650239,38.3979899,89.29,123.75200000000001,4.123,5.056,-0.004,-0.013000000000000001,-0.022,0.013000000000000001,349.57352000000003,
589437000,2021,4,3,19,43,39,1,1,1,0,31,-362803,3D-Fix,-78.06502379999999,38.3979898,89.32000000000001,123.782,4.128,5.057,-0.003,0.017,0.051000000000000004,0.018000000000000002,349.57352000000003,
589438000,2021,4,3,19,43,40,1,1,1,0,31,-362799,3D-Fix,-78.06502429999999,38.3979897,89.233,123.69500000000001,4.132,5.058,-0.008,-0.058,0.084,0.059000000000000004,349.57352000000003,
589439000,2021,4,3,19,43,41,1,1,1,0,31,-362795,3D-Fix,-78.0650252,38.3979899,89.138,123.60000000000001,4.131,5.059,0.049,-0.077,0.047,0.091,349.57352000000003,
589440000,2021,4,3,19,43,42,1,1,1,0,31,-362791,3D-Fix,-78.06502569999999,38.3979897,89.06,123.522,4.13,5.058,-0.028,-0.023,0.033,0.036000000000000004,349.57352000000003,
589441000,2021,4,3,19,43,43,1,1,1,0,31,-362786,3D-Fix,-78.06502569999999,38.3979897,89.035,123.497,4.127,5.055,0.021,0.0,0.045,0.021,349.57352000000003,
589442000,2021,4,3,19,43,44,1,1,1,0,31,-362782,3D-Fix,-78.0650254,38.3979897,89.059,123.521,4.125,5.053,-0.013000000000000001,-0.009000000000000001,0.024,0.016,349.57352000000003,
589443000,2021,4,3,19,43,45,1,1,1,0,31,-362778,3D-Fix,-78.0650253,38.3979893,89.048,123.51,4.124,5.051,-0.018000000000000002,-0.001,-0.008,0.018000000000000002,349.57352000000003,
589444000,2021,4,3,19,43,46,1,1,1,0,31,-362774,3D-Fix,-78.0650251,38.397988999999995,89.10600000000001,123.568,4.127,5.057,0.012,-0.004,-0.045,0.013000000000000001,349.57352000000003,
589445000,2021,4,3,19,43,47,1,1,1,0,31,-362770,3D-Fix,-78.0650253,38.3979886,89.072,123.534,4.1290000000000004,5.051,-0.002,-0.028,-0.045,0.028,349.57352000000003,
589446000,2021,4,3,19,43,48,1,1,1,0,31,-362765,3D-Fix,-78.0650251,38.397988399999996,89.071,123.534,4.128,5.047,-0.001,0.012,0.01,0.012,349.57352000000003,
589447000,2021,4,3,19,43,49,1,1,1,0,31,-362761,3D-Fix,-78.0650246,38.3979881,89.092,123.554,4.125,5.042,-0.008,0.014,0.025,0.016,349.57352000000003,
589448000,2021,4,3,19,43,50,1,1,1,0,31,-362757,3D-Fix,-78.0650235,38.397988,89.152,123.614,4.124,5.039,0.024,0.07100000000000001,-0.044,0.075,349.57352000000003,
589449000,2021,4,3,19,43,51,1,1,1,0,31,-362752,3D-Fix,-78.06502309999999,38.397988,89.144,123.60600000000001,4.123,5.0360000000000005,0.02,-0.004,-0.048,0.02,349.57352000000003,
589450000,2021,4,3,19,43,52,1,1,1,0,31,-362748,3D-Fix,-78.0650234,38.397988,89.127,123.589,4.126,5.034,0.008,-0.031,-0.014,0.032,349.57352000000003,
589451000,2021,4,3,19,43,53,1,1,1,0,31,-362744,3D-Fix,-78.065023,38.397987799999996,89.132,123.59400000000001,4.13,5.051,-0.016,0.045,0.027,0.047,349.57352000000003,
589452000,2021,4,3,19,43,54,1,1,1,0,31,-362740,3D-Fix,-78.0650227,38.397987799999996,89.137,123.599,4.136,5.0680000000000005,0.0,0.024,0.08,0.024,349.57352000000003,
589453000,2021,4,3,19,43,55,1,1,1,0,31,-362736,3D-Fix,-78.0650227,38.3979877,89.124,123.586,4.141,5.083,-0.006,-0.023,0.047,0.024,349.57352000000003,
589454000,2021,4,3,19,43,56,1,1,1,0,31,-362732,3D-Fix,-78.06502259999999,38.3979876,89.129,123.59100000000001,4.144,5.0920000000000005,-0.01,-0.021,-0.046,0.023,349.57352000000003,
589455000,2021,4,3,19,43,57,1,1,1,0,31,-362727,3D-Fix,-78.06502309999999,38.397987799999996,89.108,123.57000000000001,4.146,5.088,0.027,-0.035,-0.044,0.044,349.57352000000003,
589456000,2021,4,3,19,43,58,1,1,1,0,31,-362723,3D-Fix,-78.0650232,38.3979881,89.181,123.643,4.147,5.086,0.019,0.003,-0.045,0.02,349.57352000000003,
589457000,2021,4,3,19,43,59,1,1,1,0,31,-362719,3D-Fix,-78.0650227,38.397988399999996,89.254,123.71600000000001,4.1450000000000005,5.078,-0.009000000000000001,0.059000000000000004,-0.007,0.06,349.57352000000003,
